SnakeLean.exactness_via_homology_tfae	SnakeLean.IsNormalMono SnakeLean.IsStrong SnakeLean.IsNormalEpi SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsTwoMono SnakeLean.IsTwoEpi SnakeLean.IsTrivial SnakeLean.IsExactAt SnakeLean.IsTwoCokernel	SnakeLean.IsTwoEpi.comp SnakeLean.IsEquiv1.isTwoMono SnakeLean.IsEssNull.of_iso SnakeLean.IsEssNull SnakeLean.IsEssNull.comp_left SnakeLean.IsTwoKernel.fac SnakeLean.IsTwoMono.comp SnakeLean.IsTwoMono.of_iso SnakeLean.IsEquiv1.isTwoEpi SnakeLean.isEquiv1_of_factor SnakeLean.IsTwoCokernel.of_iso SnakeLean.IsTwoEpi.preimageIso SnakeLean.isTwoCokernel_isTwoEpi_comp_iff SnakeLean.IsEssNull.of_comp_isTwoMono SnakeLean.IsEssNull.comp SnakeLean.IsEssNull.of_comp_isTwoEpi SnakeLean.IsTwoCokernel.exists_isEquiv1 SnakeLean.IsTwoKernel.exists_isEquiv1 SnakeLean.IsTrivial.isEssNull_in SnakeLean.IsTwoEpi.of_iso SnakeLean.IsTwoCokernel.isEssNull_comp SnakeLean.IsTwoCokernel.isTwoEpi SnakeLean.IsTwoKernel.isTwoMono SnakeLean.IsTwoKernel.of_isTwoCokernel SnakeLean.IsTwoKernel.of_isEquiv1_comp SnakeLean.IsSES SnakeLean.exactness_tfae SnakeLean.IsTwoMono.preimageIso SnakeLean.IsTwoKernel.isEssNull_comp SnakeLean.IsEquiv1 SnakeLean.IsTwoKernel.of_iso_right
SnakeLean.SnakeHalf.dBar	SnakeLean.HasBizero SnakeLean.SnakeHalf	
CategoryTheory.ObjectProperty.serreSaturation_le	CategoryTheory.ObjectProperty.serreSaturation	CategoryTheory.ObjectProperty.prop_iff_of_isoModSerre CategoryTheory.ObjectProperty.isoModSerre_mono
SnakeLean.IsNormalEpi.comp_isEquiv1	SnakeLean.IsStrong SnakeLean.IsNormalEpi SnakeLean.HasBizero SnakeLean.IsEquiv1	SnakeLean.IsTwoCokernel.comp_isEquiv1 SnakeLean.IsTwoCokernel
CategoryTheory.ObjectProperty.instIsClosedUnderExtensionsSQEssential	CategoryTheory.ObjectProperty.SQEssential	CategoryTheory.ObjectProperty.HasNonzeroSub CategoryTheory.IsSubquotient
SnakeLean.isTwoMono_twoKernel	SnakeLean.HasBizero SnakeLean.IsTwoMono SnakeLean.HasTwoKernel SnakeLean.twoKernelObj SnakeLean.twoKernel	SnakeLean.isTwoKernel_twoKernel SnakeLean.IsTwoKernel.isTwoMono
SnakeLean.IsTwoEpi.faithful	SnakeLean.IsTwoEpi	
SnakeLean.isTrivial_twoKernelObj	SnakeLean.IsStrong SnakeLean.HasBizero SnakeLean.IsTwoMono SnakeLean.HasTwoKernel SnakeLean.IsTrivial SnakeLean.twoKernelObj	SnakeLean.isTwoKernel_twoKernel SnakeLean.twoKernel SnakeLean.IsTwoKernel.isTrivial_of_isTwoMono
CategoryTheory.ObjectProperty.SubEssential		CategoryTheory.ObjectProperty.HasNonzeroSub
SnakeLean.isExactAt_of_op	SnakeLean.IsStrong SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.IsExactAt SnakeLean.bizeroOp	SnakeLean.IsNormalMono SnakeLean.isTwoCokernel_of_op SnakeLean.IsNormalEpi SnakeLean.isNormalMono_of_op SnakeLean.IsTwoKernel SnakeLean.IsTwoCokernel SnakeLean.IsSES SnakeLean.exactness_tfae
SnakeLean.strictAbCatOf	SnakeLean.AbCatClass SnakeLean.bicategoryAbCatOf SnakeLean.AbCatOf	
CategoryTheory.ObjectProperty.prop_of_shortExact		
SnakeLean.Pentagon.z	SnakeLean.Pentagon	
SnakeLean.isStrongLD	SnakeLean.IsStrong SnakeLean.zeroLD	SnakeLean.isStrong_locallyDiscrete
SnakeLean.IsTotallyNormalMono	SnakeLean.HasBizero	
SnakeLean.NormalEpiComp.recOn	SnakeLean.NormalEpiComp SnakeLean.IsNormalEpi SnakeLean.HasBizero SnakeLean.NormalEpiComp.mk	SnakeLean.NormalEpiComp.rec
TwoVertex.SS_spanA	TwoVertex.lam TwoVertex.SS TwoVertex.spanA	TwoVertex.nOne TwoVertex.e₁ TwoVertex.nTwo TwoVertex.e₁_smul_mem_nOne
SnakeLean.isSES_of_op	SnakeLean.HasBizero SnakeLean.bizeroOp SnakeLean.IsSES	SnakeLean.IsSES.isTwoCokernel SnakeLean.IsSES.isTwoKernel SnakeLean.isTwoCokernel_of_op SnakeLean.isTwoKernel_of_op SnakeLean.IsSES.mk
SnakeLean.IsCofaithful₁.casesOn	SnakeLean.IsCofaithful₁.mk SnakeLean.IsCofaithful₁	SnakeLean.IsCofaithful₁.rec
SnakeLean.isTwoCokernel_twoCokernel	SnakeLean.HasTwoCokernel SnakeLean.twoCokernelObj SnakeLean.HasBizero SnakeLean.IsTwoCokernel SnakeLean.twoCokernel	SnakeLean.HasTwoCokernel.exists_isTwoCokernel
SnakeLean.IsNormalMono	SnakeLean.HasBizero	SnakeLean.IsTwoKernel
SnakeLean.isNormal_of_op	SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.bizeroOp	SnakeLean.IsNormalMono SnakeLean.IsNormalEpi SnakeLean.isNormalMono_of_op SnakeLean.isNormalEpi_of_op
CategoryTheory.ObjectProperty.instContainsZeroMapFullSubcategoryι_snakeLean	CategoryTheory.ObjectProperty.abelianFullSubcategory	CategoryTheory.ObjectProperty.prop_map_ι_iff CategoryTheory.ObjectProperty.isZero_ι_obj_iff
SnakeLean.comparison_unique	SnakeLean.IsTwoMono SnakeLean.IsTwoEpi	SnakeLean.IsTwoEpi.preimageIso SnakeLean.IsTwoMono.preimageIso
SnakeLean.AbCatHom.category	SnakeLean.AbCatClass SnakeLean.AbCatOf SnakeLean.AbCatHom	SnakeLean.AbCatOf.category SnakeLean.AbCatOf.carrier SnakeLean.AbCatHom.functor
SnakeLean.dpn_iff_forall_transpositionSymmetric	SnakeLean.DPN SnakeLean.zeroSup SnakeLean.SupOf.completeLattice SnakeLean.bicategorySup SnakeLean.SupOf SnakeLean.SupOf.carrier SnakeLean.hasBizeroSup SnakeLean.LatticeClass SnakeLean.TranspositionSymmetric	SnakeLean.transpositionSymmetric_of_dpn SnakeLean.dpn_of_forall_transpositionSymmetric
SnakeLean.IsTwoCokernel.casesOn	SnakeLean.IsTwoCokernel.mk SnakeLean.IsEssNull SnakeLean.HasBizero SnakeLean.IsTwoEpi SnakeLean.IsTwoCokernel	SnakeLean.IsTwoCokernel.rec
SnakeLean.IsTrivial.eq_1	SnakeLean.IsEssNull SnakeLean.IsTrivial	
SnakeLean.HasBizero.toZero	SnakeLean.HasBizero	
CategoryTheory.ObjectProperty.instContainsZeroModuleCatAnnBy	CategoryTheory.ObjectProperty.annBy	
SnakeLean.SnakeSpecial	SnakeLean.HasBizero	SnakeLean.IsTwoKernel SnakeLean.IsNormal SnakeLean.MorphismSES SnakeLean.IsTwoCokernel SnakeLean.MorphismSES.f SnakeLean.MorphismSES.h SnakeLean.MorphismSES.g SnakeLean.IsSES SnakeLean.IsEquiv1
SnakeLean.IsTwoKernel.exists_isEquiv1	SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsEquiv1	SnakeLean.IsTwoKernel.fac SnakeLean.IsTwoKernel.isTwoMono SnakeLean.IsTwoMono.preimageIso SnakeLean.IsTwoKernel.isEssNull_comp
SnakeLean.isNormalMono_of_isTrivial	SnakeLean.IsNormalMono SnakeLean.IsStrong SnakeLean.IsNormalEpi SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsTrivial SnakeLean.IsEquiv1	SnakeLean.isSES_of_isTwoCokernel SnakeLean.IsTwoKernel.of_iso SnakeLean.IsTwoKernel.isEquiv1_comp SnakeLean.isTwoKernel_comp_isTwoMono_iff SnakeLean.IsTwoCokernel SnakeLean.IsSES.isTrivial_iff_isEquiv1 SnakeLean.IsTwoKernel.isTwoMono SnakeLean.IsSES SnakeLean.IsTwoKernel.of_iso_right
SnakeLean.MorphismSES.noConfusion	SnakeLean.MorphismSES.noConfusionType SnakeLean.MorphismSES	SnakeLean.MorphismSES.casesOn
SnakeLean.isExactAt_locallyDiscrete_iff	SnakeLean.hasBizeroLD SnakeLean.ExactPair SnakeLean.IsExactAt SnakeLean.zeroLD	SnakeLean.IsEssNull SnakeLean.IsNormalEpi SnakeLean.IsTwoKernel SnakeLean.isEssNull_locallyDiscrete_iff SnakeLean.isNormalEpi_locallyDiscrete_iff SnakeLean.isTwoKernel_of_lift SnakeLean.IsTwoKernel.isLimitLD SnakeLean.isNormalEpi_of_epi SnakeLean.IsTwoKernel.isEssNull_comp
SnakeLean.isNormalMono_kappa	SnakeLean.IsNormalMono SnakeLean.IsStrong SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsTwoMono SnakeLean.IsSES	SnakeLean.isTwoKernel_kappa
SnakeLean.kerElt_comp_isEquiv1	SnakeLean.bicategorySup SnakeLean.SupOf SnakeLean.SupOf.carrier SnakeLean.categoryStructSup SnakeLean.kerElt SnakeLean.LatticeClass SnakeLean.IsEquiv1	SnakeLean.bijective_of_isEquiv1 SnakeLean.SupOf.completeLattice SnakeLean.instBotHomClassHom SnakeLean.instFunLikeHom
SnakeLean.isTrivial_op_iff	SnakeLean.IsTrivial	SnakeLean.isTrivial_op SnakeLean.isTrivial_of_op
SnakeLean.SupOf.casesOn	SnakeLean.SupOf SnakeLean.SupOf.mk SnakeLean.LatticeClass SnakeLean.LatticeClass.Mem	SnakeLean.SupOf.rec
SnakeLean.twoZExactSup	SnakeLean.zeroSup SnakeLean.bicategorySup SnakeLean.SupOf SnakeLean.TwoZExact SnakeLean.hasBizeroSup SnakeLean.LatticeClass	SnakeLean.HasTwoCokernel.mk SnakeLean.SupOf.completeLattice SnakeLean.IsTwoKernel SnakeLean.seg SnakeLean.TwoZExact.mk SnakeLean.isTwoKernel_segIncl SnakeLean.upSeg SnakeLean.segIncl SnakeLean.HasTwoKernel.mk SnakeLean.IsTwoCokernel SnakeLean.SupOf.carrier SnakeLean.categoryStructSup SnakeLean.kerElt SnakeLean.upProj SnakeLean.isTwoCokernel_upProj SnakeLean.instFunLikeHom
TwoVertex.al.eq_1	TwoVertex.lam TwoVertex.al	
SnakeLean.IsZeroAntinormal.isTwoKernel_iff_isEssNull_dinversion	SnakeLean.IsEssNull SnakeLean.IsStrong SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsTwoCokernel SnakeLean.IsZeroAntinormal	SnakeLean.IsEssNull.of_iso SnakeLean.IsEssNull.comp_left SnakeLean.IsTwoKernel.fac SnakeLean.IsTwoKernel.mk SnakeLean.IsTwoCokernel.isEssNull_comp SnakeLean.IsTwoKernel.isTwoMono SnakeLean.IsZeroAntinormal.isTwoKernel_of_isTwoCokernel SnakeLean.IsZeroAntinormal.isEssNull_comp SnakeLean.IsTwoKernel.isEssNull_comp
CategoryTheory.IsSubquotient.of_mono	CategoryTheory.IsSubquotient	
SnakeLean.PureSnakeComparison.noConfusionType	SnakeLean.HasBizero SnakeLean.PureSnakeComparison	SnakeLean.PureSnakeComparison.casesOn SnakeLean.IsEquiv1
SnakeLean.isTwoKernel_upProj_segIncl	SnakeLean.zeroSup SnakeLean.IsTwoKernel SnakeLean.seg SnakeLean.bicategorySup SnakeLean.upSeg SnakeLean.SupOf SnakeLean.segIncl SnakeLean.SupOf.carrier SnakeLean.hasBizeroSup SnakeLean.upProj SnakeLean.LatticeClass	SnakeLean.segRestrict SnakeLean.IsEssNull SnakeLean.IsTwoKernel.mk SnakeLean.isTwoMono_segIncl SnakeLean.SupOf.completeLattice SnakeLean.categoryStructSup SnakeLean.isEssNull_iff_forall SnakeLean.instFunLikeHom
CategoryTheory.ObjectProperty.instIsClosedUnderExtensionsModuleCatOfFG	CategoryTheory.ObjectProperty.ofFG	
SnakeLean.AbCatHom.functor	SnakeLean.AbCatOf.category SnakeLean.AbCatClass SnakeLean.AbCatOf.carrier SnakeLean.AbCatOf SnakeLean.AbCatHom	
CategoryTheory.ObjectProperty.preservesFiniteLimits_lift		CategoryTheory.ObjectProperty.preservesFiniteLimits_ι CategoryTheory.ObjectProperty.instHasFiniteLimitsFullSubcategory_snakeLean
SnakeLean.seg	SnakeLean.SupOf SnakeLean.SupOf.carrier SnakeLean.LatticeClass	SnakeLean.SupOf.completeLattice SnakeLean.SupOf.mk
SnakeLean.Pentagon.ctorElim	SnakeLean.Pentagon.ctorIdx SnakeLean.Pentagon.ctorElimType SnakeLean.Pentagon	SnakeLean.Pentagon.y SnakeLean.Pentagon.bot SnakeLean.Pentagon.casesOn SnakeLean.Pentagon.z SnakeLean.Pentagon.x SnakeLean.Pentagon.top
TwoVertex.lam		
SnakeLean.modularClass	SnakeLean.LatticeClass	SnakeLean.LatticeClass.mk
SnakeLean.isNormal_transport_iff	SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.IsEquiv1	SnakeLean.IsNormal.transport SnakeLean.IsEquiv1.isEquiv1_inv SnakeLean.IsNormal.of_iso SnakeLean.IsEquiv1.inv
SnakeLean.isNull_op	SnakeLean.IsNull	
SnakeLean.TwoDiExact.rec	SnakeLean.TwoDiExact.mk SnakeLean.HasBizero SnakeLean.TwoDiExact SnakeLean.IsNormal SnakeLean.IsAntinormal	
SnakeLean.SupOf.mk.sizeOf_spec	SnakeLean.SupOf SnakeLean.SupOf.mk SnakeLean.LatticeClass SnakeLean.LatticeClass.Mem	
SnakeLean.IsNormal.of_comp_isTwoMono	SnakeLean.IsStrong SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.IsTwoMono	SnakeLean.IsNormalMono SnakeLean.IsSES.isTwoCokernel SnakeLean.IsEssNull.of_iso SnakeLean.IsEssNull SnakeLean.isSES_of_isTwoCokernel SnakeLean.IsNormalEpi SnakeLean.IsTwoEpi.preimageIso SnakeLean.IsEssNull.of_comp_isTwoMono SnakeLean.IsTwoKernel.of_iso SnakeLean.IsNormalEpi.isTwoEpi SnakeLean.isTwoKernel_comp_isTwoMono_iff SnakeLean.IsTwoCokernel SnakeLean.IsTwoCokernel.fac SnakeLean.IsNormalMono.isTwoMono SnakeLean.IsNormalMono.of_comp SnakeLean.IsTwoKernel.isEssNull_comp
SnakeLean.SnakeHalf.q	SnakeLean.HasBizero SnakeLean.SnakeHalf.CB SnakeLean.SnakeHalf	
TwoVertex.exists_e₂_mul	TwoVertex.lam TwoVertex.e₂ TwoVertex.al	TwoVertex.sc TwoVertex.lam_eq TwoVertex.coe_mul TwoVertex.coe_add
SnakeLean.exists_mOne	SnakeLean.IsNormalMono SnakeLean.IsStrong SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsTwoCokernel	SnakeLean.IsTwoKernel.fac SnakeLean.isEssNull_kg_comp SnakeLean.IsTwoKernel.isTwoMono SnakeLean.IsNormalMono.of_comp
CategoryTheory.ObjectProperty.abelianFullSubcategory		CategoryTheory.ObjectProperty.instHasFiniteProductsFullSubcategory_snakeLean CategoryTheory.ObjectProperty.instHasCokernelsFullSubcategory_snakeLean CategoryTheory.ObjectProperty.instIsIsoFullSubcategoryCoimageImageComparison_snakeLean CategoryTheory.ObjectProperty.instHasKernelsFullSubcategory_snakeLean
CategoryTheory.ObjectProperty.instIsClosedUnderQuotientsModuleCatAnnBy	CategoryTheory.ObjectProperty.annBy	
SnakeLean.isPureSnake_of_isHSD.match_1_5		
SnakeLean.IsTotallyNormalEpi	SnakeLean.HasBizero	
SnakeLean.IsNormalMono.isTwoMono	SnakeLean.IsNormalMono SnakeLean.HasBizero SnakeLean.IsTwoMono	SnakeLean.IsTwoKernel SnakeLean.IsTwoKernel.isTwoMono
SnakeLean.IsTwoCokernel.of_iso	SnakeLean.HasBizero SnakeLean.IsTwoCokernel	SnakeLean.isTwoCokernel_of_op SnakeLean.isTwoKernel_op SnakeLean.IsTwoKernel.of_iso SnakeLean.bizeroOp
SnakeLean.IsEquiv1.nonempty_iso_inv	SnakeLean.IsEquiv1.inv SnakeLean.IsEquiv1	SnakeLean.IsEquiv1.nonempty_comp_inv SnakeLean.IsEquiv1.nonempty_inv_comp
SnakeLean.MorphismPure.exists_cokMapF	SnakeLean.IsStrong SnakeLean.MorphismPure SnakeLean.MorphismPure.πX SnakeLean.HasBizero SnakeLean.IsTwoMono SnakeLean.IsTwoCokernel	SnakeLean.MorphismPure.exists_piF SnakeLean.exists_cokMap SnakeLean.MorphismPure.πA
SnakeLean.snake_isExactAt_twoCokG	SnakeLean.IsStrong SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.IsTwoEpi SnakeLean.MorphismSES SnakeLean.IsExactAt SnakeLean.IsTwoCokernel SnakeLean.MorphismSES.f SnakeLean.MorphismSES.h SnakeLean.MorphismSES.g SnakeLean.IsSES	SnakeLean.isTwoKernel_op SnakeLean.isEquiv1_id SnakeLean.IsNormalEpi SnakeLean.snake_isTwoCokernel_barD SnakeLean.IsTwoKernel SnakeLean.strictOp SnakeLean.IsEquiv1.isNormalEpi SnakeLean.isStrongOp SnakeLean.bizeroOp SnakeLean.isExactAt_of_op
SnakeLean.SupOf.ctorIdx	SnakeLean.SupOf SnakeLean.LatticeClass	
SnakeLean.cosquareIso_naturality	SnakeLean.cosquareIso	
SnakeLean.AbCatClass.mk.sizeOf_spec	SnakeLean.ZeroCat SnakeLean.AbCatClass SnakeLean.ZeroCat.category CategoryTheory.ObjectProperty.abelianFullSubcategory SnakeLean.AbCatClass.mk SnakeLean.ZeroCat.instAbelian	
CategoryTheory.ObjectProperty.prop_of_surjective		
SnakeLean.isNormal_op	SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.bizeroOp	SnakeLean.IsNormalMono SnakeLean.isNormalMono_op SnakeLean.isNormalEpi_op SnakeLean.IsNormalEpi
SnakeLean.LatticeClass.rec	SnakeLean.LatticeClass.mk SnakeLean.iciCompleteLattice SnakeLean.LatticeClass	
SnakeLean.Pentagon.y	SnakeLean.Pentagon	
SnakeLean.IsTotallyNormalEpi.casesOn	SnakeLean.IsTotallyNormalEpi SnakeLean.IsNormalEpi SnakeLean.HasBizero SnakeLean.IsTotallyNormalEpi.mk	SnakeLean.IsTotallyNormalEpi.rec
SnakeLean.isNormal_bBar_full	SnakeLean.DPN SnakeLean.IsStrong SnakeLean.IsHSD SnakeLean.IsTwoKernel SnakeLean.HasBizero SnakeLean.IsNormal SnakeLean.IsTwoMono SnakeLean.MorphismSES SnakeLean.IsTwoCokernel SnakeLean.MorphismSES.f SnakeLean.TwoZExact SnakeLean.MorphismSES.h SnakeLean.MorphismSES.g SnakeLean.IsSES	SnakeLean.IsNormalMono SnakeLean.IsNormalEpi SnakeLean.exists_bBarData
SnakeLean.kerProp	SnakeLean.AbCatOf.category SnakeLean.AbCatClass SnakeLean.bicategoryAbCatOf SnakeLean.AbCatOf.carrier SnakeLean.AbCatOf	SnakeLean.AbCatHom.functor
SnakeLean.isClosed_sup_span_singleton		
TwoVertex.pa_eq	TwoVertex.lam TwoVertex.pa TwoVertex.al TwoVertex.be	
SnakeLean.pureSnake_isExactAt_left	SnakeLean.IsStrong SnakeLean.HasBizero SnakeLean.IsExactAt SnakeLean.IsSES	SnakeLean.isEquiv1_id SnakeLean.IsNormalEpi SnakeLean.IsTwoKernel SnakeLean.IsEquiv1.isNormalEpi SnakeLean.isTwoKernel_dinversion_of_ladder
SnakeLean.IsZeroAntinormal.casesOn	SnakeLean.IsNormalMono SnakeLean.IsEssNull SnakeLean.IsNormalEpi SnakeLean.HasBizero SnakeLean.IsZeroAntinormal.mk SnakeLean.IsZeroAntinormal	SnakeLean.IsZeroAntinormal.rec
SnakeLean.PureSnakeComparison	SnakeLean.HasBizero	
SnakeLean.SupOf.noConfusion	SnakeLean.SupOf.noConfusionType SnakeLean.SupOf SnakeLean.LatticeClass	SnakeLean.SupOf.casesOn SnakeLean.LatticeClass.Mem
SnakeLean.covBy_height_eq		
SnakeLean.dpnOp	SnakeLean.DPN SnakeLean.HasBizero SnakeLean.bizeroOp	SnakeLean.IsNormalMono SnakeLean.DPN.mk SnakeLean.isTwoCokernel_of_op SnakeLean.IsNormalEpi SnakeLean.isNormalMono_of_op SnakeLean.isTwoKernel_of_op SnakeLean.IsTwoKernel SnakeLean.isNormal_of_op SnakeLean.IsNormal SnakeLean.IsTwoCokernel SnakeLean.DPN.isNormal_comp_iff SnakeLean.isNormal_op SnakeLean.isNormalEpi_of_op
CategoryTheory.IsSerreQuotient.isZero_map_of_prop	CategoryTheory.IsSerreQuotient	
SnakeLean.SnakeTop.isNormalMono_i	SnakeLean.IsNormalMono SnakeLean.HasBizero SnakeLean.SnakeTop.i SnakeLean.SnakeTop.I SnakeLean.SnakeTop	
SnakeLean.SnakeHalf.noConfusion	SnakeLean.HasBizero SnakeLean.SnakeHalf SnakeLean.SnakeHalf.noConfusionType	SnakeLean.IsTwoKernel SnakeLean.IsNormal SnakeLean.IsTwoEpi SnakeLean.IsTwoCokernel SnakeLean.SnakeHalf.casesOn SnakeLean.IsEquiv1
SnakeLean.coe_transposeInv	SnakeLean.transposeInv	
SnakeLean.IsNull.comp_right	SnakeLean.IsNull	
SnakeLean.AbCatClass		
SnakeLean.TwoDiExact.recOn	SnakeLean.TwoDiExact.mk SnakeLean.HasBizero SnakeLean.TwoDiExact SnakeLean.IsNormal SnakeLean.IsAntinormal	SnakeLean.TwoDiExact.rec
CategoryTheory.ObjectProperty.instIsClosedUnderExtensionsMin_snakeLean		
